Code Insee,Commune,Latitude,Longitude
05026,Ceillac,44.653,6.804
05028,Chabestan,44.478,5.783
05031,Champcella,44.718,6.531
05033,Chanousse,44.365,5.66
05035,Châteauneuf-d'Oze,44.505,5.898
05038,Château-Ville-Vieille,44.768,6.8
05047,Éourres,44.214,5.729
05048,L'Épine,44.425,5.611
05049,Esparron,44.463,5.893
05051,Étoile-Saint-Cyrice,44.321,5.644
05053,Garde-Colombe,44.357,5.783
05055,La Faurie,44.568,5.74
05058,Freissinières,44.736,6.459
05060,Furmeyer,44.537,5.876
05063,La Grave,45.06,6.284
05066,La Haute-Beaume,44.569,5.628
05070,Laragne-Montéglin,44.334,5.816
05073,Lazer,44.352,5.85
05076,Méreuil,44.384,5.713
05077,Molines-en-Queyras,44.717,6.892
05078,Monêtier-Allemont,44.393,5.934
05080,Montbrand,44.592,5.668
05081,Montclus,44.415,5.67
05086,Montjay,44.366,5.615
05087,Montmaur,44.59,5.886
05089,Montrond,44.387,5.746
05091,Moydans,44.41,5.509
05094,Nossage-et-Bénévent,44.31,5.754
05097,Orpierre,44.315,5.706
05099,Oze,44.506,5.799
05101,Vallouise-Pelvoux,44.9,6.436
05102,La Piarre,44.478,5.648
05103,Le Poët,44.279,5.901
05110,Puy-Saint-Vincent,44.814,6.465
05117,Ribeyret,44.411,5.558
05118,Val Buëch-Méouge,44.221,5.843
05122,La Roche-de-Rame,44.766,6.616
05123,La Roche-des-Arnauds,44.584,5.96
05126,Rosans,44.4,5.462
05129,Saint-André-de-Rosans,44.365,5.521
05131,Saint-Auban-d'Oze,44.488,5.848
05135,Sainte-Colombe,44.289,5.668
05146,Saint-Julien-en-Beauchêne,44.626,5.72
05151,Saint-Martin-de-Queyrières,44.838,6.583
05154,Saint-Pierre-d'Argençon,44.52,5.69
05155,Saint-Pierre-Avez,44.248,5.768
05157,Saint-Véran,44.684,6.891
05158,Le Saix,44.464,5.834
05159,Saléon,44.32,5.775
05160,Salérans,44.242,5.701
05165,Savournon,44.424,5.799
05166,Serres,44.421,5.716
05167,Sigottier,44.458,5.685
05169,Sorbiers,44.362,5.573
05172,Trescléoux,44.355,5.718
05173,Upaix,44.32,5.883
05178,Ventavon,44.386,5.888
05179,Veynes,44.557,5.823
05180,Les Vigneaux,44.821,6.537
05181,Villar-d'Arêne,45.0,6.364
05184,Vitrolles,44.425,5.948
06001,Aiglun,43.852,6.935
06002,Amirat,43.896,6.813
06003,Andon,43.777,6.823
06005,Ascros,43.919,7.016
06008,Auvare,44.007,6.915
06013,Belvédère,44.056,7.374
06016,Beuil,44.108,6.972
06020,La Bollène-Vésubie,43.995,7.372
06024,Briançonnet,43.865,6.745
06028,Caille,43.769,6.757
06040,Châteauneuf-d'Entraunes,44.164,6.835
06045,Collongues,43.894,6.864
06051,La Croix-sur-Roudoule,44.0,6.87
06053,Daluis,44.039,6.8
06056,Entraunes,44.215,6.763
06058,Escragnolles,43.729,6.783
06063,Gars,43.86,6.817
06071,Guillaumes,44.088,6.875
06073,Isola,44.187,7.075
06076,Lieuche,44.002,7.032
06078,Malaussène,43.915,7.141
06081,Le Mas,43.837,6.859
06082,Massoins,43.948,7.124
06087,Les Mujouls,43.872,6.859
06093,La Penne,43.925,6.942
06094,Péone,44.13,6.921
06096,Pierlas,44.035,7.017
06097,Pierrefeu,43.885,7.071
06098,Puget-Rostang,43.987,6.937
06099,Puget-Théniers,43.952,6.906
06100,Revest-les-Roches,43.883,7.168
06101,Rigaud,43.993,6.975
06103,Roquebillière,44.027,7.293
06115,Saint-Antonin,43.908,6.977
06116,Saint-Auban,43.831,6.74
06119,Saint-Dalmas-le-Selvage,44.29,6.841
06120,Saint-Étienne-de-Tinée,44.249,6.924
06124,Saint-Léger,44.003,6.823
06125,Saint-Martin-d'Entraunes,44.149,6.746
06127,Saint-Martin-Vésubie,44.102,7.302
06131,Sallagriffon,43.881,6.914
06133,Sauze,44.085,6.801
06134,Séranon,43.766,6.69
06135,Sigale,43.876,6.966
06139,Thiéry,43.974,7.042
06141,Toudon,43.892,7.108
06143,Touët-sur-Var,43.943,7.014
06145,Tourette-du-Château,43.878,7.137
06154,Valderoure,43.794,6.71
06156,Venanson,44.041,7.239
06158,Villars-sur-Var,43.952,7.08
06160,Villeneuve-d'Entraunes,44.122,6.782
07001,Accons,44.888,4.392
07004,Ajoux,44.755,4.486
07006,Albon-d'Ardèche,44.815,4.425
07012,Arcens,44.9,4.318
07014,Arlebosc,45.04,4.63
07018,Astet,44.685,4.027
07023,Balazuc,44.508,4.372
07025,Barnas,44.669,4.159
07026,Le Béage,44.856,4.13
07029,Beaumont,44.543,4.172
07030,Beauvène,44.87,4.512
07032,Berzème,44.655,4.572
07033,Bessas,44.338,4.298
07037,Borée,44.895,4.227
07038,Borne,44.617,4.042
07039,Bozas,45.059,4.648
07045,Burzet,44.748,4.234
07047,Cellier-du-Luc,44.674,3.902
07049,Le Chambon,44.83,4.299
07054,Chanéac,44.93,4.307
07058,Chassiers,44.566,4.302
07062,Chazeaux,44.595,4.298
07064,Le Cheylard,44.908,4.421
07065,Chirols,44.688,4.295
07071,Coucouron,44.795,3.962
07073,Le Crestet,45.01,4.639
07075,Cros-de-Géorand,44.8,4.128
07077,Darbres,44.66,4.516
07079,Désaignes,44.992,4.501
07080,Devesset,45.066,4.393
07081,Dompnac,44.563,4.107
07082,Dornas,44.852,4.358
07083,Dunière-sur-Eyrieux,44.834,4.651
07085,Empurany,45.026,4.597
07087,Fabras,44.648,4.281
07088,Faugères,44.479,4.14
07093,Genestelle,44.737,4.385
07095,Gilhoc-sur-Ormèze,44.986,4.677
07096,Gluiras,44.846,4.526
07098,Gourdon,44.729,4.455
07103,Saint-Julien-d'Intres,44.986,4.344
07104,Issamoulenc,44.788,4.456
