Code INSEE,Commune,Latitude,Longitude
03185,Montluçon,46.339,2.604
03188,Montord,46.29,3.24
03189,Montvicq,46.316,2.822
03190,Moulins,46.562,3.327
03194,Naves,46.176,3.116
03195,Néris-les-Bains,46.299,2.676
03196,Neuilly-en-Donjon,46.343,3.885
03197,Neuilly-le-Réal,46.467,3.437
03200,Neuvy,46.571,3.283
03201,Nizerolles,46.107,3.644
03202,Noyant-d'Allier,46.48,3.119
03206,La Petite-Marche,46.19,2.561
03207,Pierrefitte-sur-Loire,46.504,3.81
03209,Poëzat,46.076,3.227
03211,Prémilhat,46.31,2.547
03216,Ronnet,46.202,2.701
03217,Saint-Angel,46.356,2.685
03218,Saint-Aubin-le-Monial,46.536,3.001
03220,Saint-Bonnet-de-Rochefort,46.15,3.141
03224,Saint-Clément,46.058,3.722
03227,Saint-Didier-la-Forêt,46.229,3.336
03229,Saint-Ennemond,46.681,3.404
03230,Saint-Étienne-de-Vicq,46.173,3.536
03231,Saint-Fargeol,46.134,2.631
03232,Saint-Félix,46.229,3.475
03233,Saint-Genest,46.263,2.603
03236,Saint-Germain-des-Fossés,46.196,3.43
03237,Saint-Germain-de-Salles,46.187,3.22
03238,Saint-Hilaire,46.487,3.015
03240,Saint-Léon,46.411,3.688
03241,Saint-Léopardin-d'Augy,46.698,3.106
03244,Saint-Marcel-en-Marcillat,46.153,2.581
03247,Saint-Menoux,46.582,3.145
03248,Saint-Nicolas-des-Biefs,46.063,3.795
03249,Saint-Palais,46.44,2.306
03251,Saint-Plaisir,46.624,2.956
03252,Saint-Pont,46.159,3.299
03253,Saint-Pourçain-sur-Besbre,46.482,3.649
03254,Saint-Pourçain-sur-Sioule,46.304,3.305
03255,Saint-Priest-d'Andelot,46.077,3.154
03258,Saint-Rémy-en-Rollat,46.192,3.383
03259,Saint-Sauvier,46.397,2.332
03261,Sainte-Thérence,46.243,2.573
03264,Saint-Yorre,46.064,3.468
03265,Saligny-sur-Roudon,46.463,3.751
03266,Sanssat,46.25,3.468
03267,Saulcet,46.329,3.267
03268,Saulzet,46.138,3.221
03271,Serbannes,46.099,3.352
03273,Seuillet,46.205,3.468
03275,Souvigny,46.524,3.19
03276,Sussat,46.152,3.056
03277,Target,46.285,3.048
03278,Taxat-Senat,46.208,3.146
03279,Teillet-Argenty,46.263,2.517
03280,Terjat,46.214,2.619
03281,Le Theil,46.356,3.126
03283,Thiel-sur-Acolin,46.531,3.578
03284,Thionne,46.412,3.573
03286,Toulon-sur-Allier,46.511,3.377
03287,Treban,46.399,3.165
03288,Treignat,46.348,2.352
03290,Trévol,46.637,3.316
