Latitude,Longitude,Ville
46.3243636,5.9224471,Bellecombe
46.5584868,6.0660682,Bellefontaine
47.2627909,6.6583311,Belleherbe
47.6890753,7.0669171,Bellemagny
47.69752,4.64534,"Bellenod-sur-
Seine"
48.8118642,6.8999178,Belles-Forêts
48.4095949,7.234863,Belmont
47.7876,6.50373,Belmont
47.7657,6.6076,Belonchamp
49.4692774,5.03563,Belval-Bois-des-Dames
48.9490216,5.0043425,Belval-en-Argonne
47.6303,6.64583,Belverne
47.3181471,6.6046229,Belvoir
43.835517,7.295609,Bendejun
47.488307,7.28219,Bendorf
48.34294,3.59112,Bercenay-le-Hayer
47.4725005,6.7449103,Berche
47.5868606,7.3833157,Berentzwiller
48.898056,7.156944,Berg
49.4307696,6.3111933,Berg
49.4307696,6.3111933,Berg-sur-Moselle
48.1850877,4.6681119,Bergères
47.9176209,7.2469864,Bergholtz
47.9268409,7.2282066,Bergholtzzell
47.6921763,7.1913237,Bernwiller
43.476,5.1686,Berre-l'Étang
43.830936,7.328568,Berre-les-Alpes
47.8497236,7.2176669,Berrwiller
48.128197,4.5189038,Bertignolles
48.2725,7.055,Bertrimoutier
48.2711035,7.053552,Bertrimoutier
48.177,3.66326,Bérulle
49.2716496,6.6464907,Berviller-en-Moselle
49.1646296,4.7976896,Berzieux
47.0979128,4.6136356,Bessey-la-Cour
48.545588,4.0253964,Bessy
47.6217416,3.7409435,Bessy-sur-Cure
47.862,5.91985,Betaucourt
48.61181,3.61451,Bethon
47.9184689,6.1725814,"Betoncourt-
Saint-Pancras"
47.7413487,6.3407671,"Betoncourt-lès-
Brotte"
47.8301,5.75438,"Betoncourt-sur-
Mance"
49.2993315,5.9071567,Bettainvillers
48.6528198,4.9746257,Bettancourt-la-Ferrée
47.5852476,7.2770871,Bettendorf
49.0787889,7.2884443,Bettviller
48.887222,7.18,Bettwiller
48.8871233,7.1800477,Bettwiller
48.0201831,3.8050892,Beugnon
44.096215,6.990051,Beuil
48.1832902,4.4674596,Beurey
47.2334318,4.4218736,"Beurey-
Bauguay"
48.3180954,4.8336937,Beurville
47.4714395,6.6400076,Beutal
49.432437,5.6911177,Beuveille
47.3592747,3.4930823,Beuvron
44.174817,5.892792,Bevons
43.9917,6.2242,Beynes
48.7291468,6.6141265,Bezange-la-Petite
43.807031,7.095108,Bézaudun-les-Alpes
49.3296527,6.4758597,Bibiche
47.0050304,3.6522266,Biches
48.804363,7.1661909,Bickenholtz
48.849062,6.7863699,Bidestroff
47.4698011,7.4478377,Biederthal
47.3265419,6.768248,Bief
46.7058952,6.0388402,"Bief-des-
Maisons"
46.8095692,6.1096231,Bief-du-Fourg
48.563299,5.3482852,Biencourt-sur-Orge
47.5970717,4.1865148,"Bierry-les-
Belles-
Fontaines"
48.0856011,5.2934931,Biesles
48.6836855,4.6104505,Bignicourt-sur-Marne
48.7655313,4.7755551,Bignicourt-sur-Saulx
46.755641,6.0515844,Billecul
47.14435,5.43099,Billey
47.0139114,3.4540299,"Billy-
Chevannes"
49.3323029,5.5742271,Billy-sous-Mangiennes
47.4800941,3.4133753,Billy-sur-Oisy
49.239041,4.8936371,Binarville
49.0369745,7.2516945,Bining
47.5373075,7.2159842,Bisel
48.9428,7.0244,Bissert
48.9422471,7.0242185,Bissert
47.9121295,4.7092906,Bissey-la-Côte
47.84894,4.42536,Bissey-la-Pierre
46.4807801,4.7868727,"Bissy-la-
Mâconnaise"
46.6631688,4.6208765,Bissy-sur-Fley
49.0508729,7.4254577,Bitche
