territoire,commune,code_commune,latitude,longitude
Fiumorbu 2814 Casevecchie 2B075 Zone d'intervention prioritaire,Casevecchie,2B075,42.1427779,9.3606175
Fiumorbu 2814 Serra-di-Fiumorbo 2B277 Zone d'intervention prioritaire,Serra-di-Fiumorbo,2B277,41.9863703,9.3363062
Fiumorbu 2814 Lugo-di-Nazza 2B149 Zone d'intervention prioritaire,Lugo-di-Nazza,2B149,42.0739367,9.3019290
Fiumorbu 2814 Ghisoni 2B124 Zone d'intervention prioritaire,Ghisoni,2B124,42.1035625,9.2122752
Fiumorbu 2814 Poggio-di-Nazza 28236 Zone d'intervention prioritaire,Poggio-di-Nazza,28236,42.0565780,9.2968168
Nebbiu 2820 Santo-Pietro-di-Tenda 28314 Zone d'intervention prioritaire,Santo-Pietro-di-Tenda,28314,42.6047247,9.2597210
Nebbiu 2820 Vallecalle 28333 Zone d'intervention prioritaire,Vallecalle,28333,42.5986371,9.3388751
Nebbiu 2820 Rutali 2B265 Zone d'intervention prioritaire,Rutali,2B265,42.5796600,9.3628800
Nebbiu 2B20 Oletta 28185 Zone d'intervention prioritaire,Oletta,28185,42.6320692,9.3579044
Nebbiu 2820 Sorio 28287 Zone d'intervention prioritaire,Sorio,28287,42.5832500,9.2756204
Nebbiu 2820 Olmeta-di-Capocorso 28187 Zone d'intervention prioritaire,Olmeta-di-Capocorso,28187,42.7682213,9.3710518
Nebbiu 2820 Olmeta-di-Tuda 28188 Zone d'intervention prioritaire,Olmeta-di-Tuda,28188,42.6115020,9.3552438
Nebbiu 2820 Murato 28172 Zone d'intervention prioritaire,Murato,28172,42.5801990,9.3288540
Nebbiu 2820 Piéve 28230 Zone d'intervention prioritaire,Piéve,28230,42.5805618,9.2879553
Nebbiu 2820 Barbaggio 28029 Zone d'intervention prioritaire,Barbaggio,28029,42.6897400,9.3773800
Nebbiu 2820 Farinole 28109 Zone d'intervention prioritaire,Farinole,28109,42.7318671,9.3636859
Nebbiu 2820 Saint-Florent 28298 Zone d'intervention prioritaire,Saint-Florent,28298,47.6908664,2.4746362
Nebbiu 2B20 Nonza 28178 Zone d'intervention prioritaire,Nonza,28178,42.7844061,9.3445863
Nebbiu 2820 San-Gavino-di-Tenda 28301 Zone d'intervention prioritaire,San-Gavino-di-Tenda,28301,42.5992681,9.2677826
Nebbiu 2820 Ogliastro 28183 Zone d'intervention prioritaire,Ogliastro,28183,42.8177020,9.3489365
Nebbiu 2820 Olcani 28184 Zone d'intervention prioritaire,Olcani,28184,42.8096821,9.3714470
Ponte-Leccia 2818 Canavaggia 28059 Zone d'intervention prioritaire,Canavaggia,28059,42.5035786,9.2626552
Ponte-Leccia 2818 Erone 28106 Zone d'intervention prioritaire,Erone,28106,42.3724603,9.2709369
Ponte-Leccia 2818 Asco 28023 Zone d'intervention prioritaire,Asco,28023,42.4542774,9.0341777
Ponte-Leccia 2B18 Castifao 28080 Zone d'intervention prioritaire,Castifao,28080,42.5040586,9.1123633
Ponte-Leccia 2818 Popolasca 28244 Zone d'intervention prioritaire,Popolasca,28244,42.4331721,9.1335733
Ponte-Leccia 2818 Omessa 28193 Zone d'intervention prioritaire,Omessa,28193,42.3702060,9.1997614
Ponte-Leccia 2818 San-Lorenzo 28304 Zone d'intervention prioritaire,San-Lorenzo,28304,42.3832108,9.2879660
Ponte-Leccia 2818 Carticasi 28068 Zone d'intervention prioritaire,Carticasi,28068,42.3570794,9.2911329
Ponte-Leccia 2818 Castiglione 28081 Zone d'intervention prioritaire,Castiglione,28081,42.4177283,9.1281254
Ponte-Leccia 2818 Castineta 28082 Zone d'intervention prioritaire,Castineta,28082,42.4233410,9.2992204
Ponte-Leccia 2818 Aiti 28003 Zone d'intervention prioritaire,Aiti,28003,42.3985048,9.2434795
Ponte-Leccia 2818 Lento 28140 Zone d'intervention prioritaire,Lento,28140,42.5214979,9.2822521
Ponte-Leccia 2818 Prato-di-Giovellina 28248 Zone d'intervention prioritaire,Prato-di-Giovellina,28248,42.4237787,9.1644687
Ponte-Leccia 2818 Llano 28137 Zone d'intervention prioritaire,Llano,28137,,
Ponte-Leccia 2818 Castello-di-Rostino 28079 Zone d'intervention prioritaire,Castello-di-Rostino,28079,42.4634800,9.3148900
Ponte-Leccia 2818 Bisinchi 28039 Zone d'intervention prioritaire,Bisinchi,28039,42.4782071,9.3231679
Ponte-Leccia 2818 Pietralba 28223 Zone d'intervention prioritaire,Pietralba,28223,42.5467846,9.1854941
Ponte-Leccia 2818 Saliceto 28267 Zone d'intervention prioritaire,Saliceto,28267,42.3995029,9.2953131
Ponte-Leccia 2818 Rusio 28264 Zone d'intervention prioritaire,Rusio,28264,42.3618046,9.2604881
Ponte-Leccia 2818 Moltifao 28162 Zone d'intervention prioritaire,Moltifao,28162,42.4889291,9.1162087
Ponte-Leccia 2818 Valle-di-Rostino 2B337 Zone d'intervention prioritaire,Valle-di-Rostino,2B337,42.4596199,9.2813779
Ponte-Leccia 2818 Piedigriggio 28220 Zone d'intervention prioritaire,Piedigriggio,28220,42.4478129,9.1725187
Ponte-Leccia 2818 Gavignano 2B122 Zone d'intervention prioritaire,Gavignano,2B122,42.4181074,9.2858310
Ponte-Leccia 2818 Cambia 28051 Zone d'intervention prioritaire,Cambia,28051,42.3638218,9.2947179
Propriano-Sarténe 2A06 Giuncheto 2A127 Zone d'intervention prioritaire,Giuncheto,2A127,41.5864064,8.9539039
Propriano-Sarténe 2A06 Grossa 2A129 Zone d'intervention prioritaire,Grossa,2A129,41.6103436,8.8771194
Propriano-Sarténe 2A06 Belvédére-Campomoro 2A035 Zone d'intervention prioritaire,Belvédére-Campomoro,2A035,41.6168497,8.8215554
Propriano-Sarténe 2A06 Serra-di-Ferro 2A276 Zone d'intervention prioritaire,Serra-di-Ferro,2A276,41.7442214,8.8201960
Propriano-Sarténe 2A06 Propriano 2A249 Zone d'intervention prioritaire,Propriano,2A249,41.6510248,8.8973210
Propriano-Sarténe [ 2A06 Sollacaro 2A284 Zone d'intervention prioritaire,Sollacaro,2A284,41.7420380,8.8897541
Propriano-Sarténe 2A06 Arbellara 2A018 Zone d'intervention prioritaire,Arbellara,2A018,41.6703790,8.9932185
Propriano-Sarténe 2A06 Loreto-di-Tallano 2A146 Zone d'intervention prioritaire,Loreto-di-Tallano,2A146,41.7199939,9.0370362
Propriano-Sarténe 2A06 Fozzano 2A118 Zone d'intervention prioritaire,Fozzano,2A118,41.6993191,9.0017883
Propriano-Sarténe 2A06 Cargiaca 2A066 Zone d'intervention prioritaire,Cargiaca,2A066,41.7310527,9.0481600
Propriano-Sarténe 2A06 Viggianello 2A349 Zone d'intervention prioritaire,Viggianello,2A349,41.6712967,8.9427031
Propriano-Sarténe 2A06 Foce 2A115 Zone d'intervention prioritaire,Foce,2A115,41.6314864,9.0627564
Propriano-Sarténe 2A06 Bilia 2A038 Zone d'intervention prioritaire,Bilia,2A038,41.6250818,8.9074488
Propriano-Sarténe 2A06 Sarténe 2A272 Zone d'intervention prioritaire,Sarténe,2A272,41.6208848,8.9721882
Propriano-Sarténe [ 2A06 Santa-Maria-Figaniella 2A310 Zone d'intervention prioritaire,Santa-Maria-Figaniella,2A310,41.7067381,9.0043376
"Propriano-Sarténe 2A06, Granace 2A128 Zone d'intervention prioritaire",Granace,2A128,41.6470938,9.0068495
Propriano-Sarténe 2A06 Olmeto 2A189 Zone d'intervention prioritaire,Olmeto,2A189,41.7169637,8.9178271
Taravo 2A0S Guargualé 2A132 Zone d'intervention prioritaire,S Guargualé,2A132,,
Taravo 2A05 Guitera-les-Bains 2A133 Zone d'intervention prioritaire,Guitera-les-Bains,2A133,41.9264925,9.0757279
"Taravo 2A05, Quasquara 2A253 Zone d'intervention prioritaire",Quasquara,2A253,41.9004613,9.0102656
Taravo 2A05 Argiusta-Moriccio 2A021 Zone d'intervention prioritaire,Argiusta-Moriccio,2A021,41.8147446,9.0230850
Taravo 2A05 Frasseto 2A119 Zone d'intervention prioritaire,Frasseto,2A119,41.8968673,9.0235791
Taravo 2A05 Tasso 2A322 Zone d'intervention prioritaire,Tasso,2A322,41.9446098,9.1041797
Taravo 2A05 Forciolo 2A117 Zone d'intervention prioritaire,Forciolo,2A117,41.8538125,9.0096298
Taravo 2A05 Palneca 2A200 Zone d'intervention prioritaire,Palneca,2A200,41.9693343,9.1732607
Taravo Cozzano 2A099 Zone d'intervention prioritaire,Taravo Cozzano,2A099,,
Taravo 2A0S Zévaco 2A358 Zone d'intervention prioritaire,S Zévaco,2A358,,
Taravo 2A05 Corrano 2A094 Zone d'intervention prioritaire,Corrano,2A094,41.8892648,9.0636823
Taravo 2A05 Petreto-Bicchisano 2A211 Zone d'intervention prioritaire,Petreto-Bicchisano,2A211,41.7656510,8.9759047
Taravo 2A05 Moca-Croce 2A160 Zone d'intervention prioritaire,Moca-Croce,2A160,41.8051454,9.0112326
Taravo 2A05 Pila-Canale 2A232 Zone d'intervention prioritaire,Pila-Canale,2A232,41.8118675,8.9109256
Taravo 2A05 Zicavo 2A359 Zone d'intervention prioritaire,Zicavo,2A359,41.9079774,9.1300585
Taravo 2A0S Santa-Maria-Siché 2A312 Zone d'intervention prioritaire,S Santa-Maria-Siché,2A312,,
Taravo 2A05 Casalabriva 2A071 Zone d'intervention prioritaire,Casalabriva,2A071,41.7529337,8.9373386
Taravo 2A05 Azilone-Ampaza 2A026 Zone d'intervention prioritaire,Azilone-Ampaza,2A026,41.8638185,9.0138882
Taravo 2A05 Olivese 2A186 Zone d'intervention prioritaire,Olivese,2A186,41.8458004,9.0575403
Vallée du Prunelli 2A02 Tolla 2A326 Zone d'intervention prioritaire,Tolla,2A326,41.9751394,8.9728308
Vallée du Prunelli 2A02 Cauro 2A085 Zone d'intervention prioritaire,Cauro,2A085,41.9173433,8.9123901
Vallée du Prunelli 2A02 Bastelicaccia 2A032 Zone d'intervention prioritaire,Bastelicaccia,2A032,41.9329436,8.8362468
Vallée du Prunelli 2A02 Ocana 2A181 Zone d'intervention prioritaire,Ocana,2A181,41.9603325,8.9347337
Vallée du Prunelli 2A02 Bastelica 2A031 Zone d'intervention prioritaire,Bastelica,2A031,42.0016233,9.0494842
Vallée du Prunelli 2A02 Eccica-Suarella 2A104 Zone d'intervention prioritaire,Eccica-Suarella,2A104,41.9203880,8.8745301
