code_insee,commune,dep,latitude,longitude
62357,Fresnoy,62,50.3673000,2.1283400
62359,Fressin,62,50.4465629,2.0553542
62365,Galametz,62,50.3278998,2.1372235
62366,Gauchin-Légal,62,50.4154126,2.5807825
62370,Gennes-Ivergny,62,50.2647913,2.0476024
62376,Gonnehem,62,50.5622867,2.5738425
62388,Grigny,62,50.3856239,2.0658310
62393,Guemps,62,50.9169221,1.9967667
62395,Guigny,62,50.3298951,1.9988446
62398,Guisy,62,50.3890432,2.0013576
62411,Haravesnes,62,50.2876927,2.1305753
62413,Harnes,62,50.4474100,2.9068246
62427,Hénin-Beaumont,62,50.4191721,2.9469339
62441,Hermin,62,50.4186763,2.5583632
62447,Hesdin,62,50.3738145,2.0389790
62451,Heuchin,62,50.4748336,2.2690192
62456,Houchin,62,50.4823382,2.6195516
62461,Huby-Saint-Leu,62,50.3935237,2.0305421
62470,Incourt,62,50.3908100,2.1518100
62521,La Loge,62,50.4101276,2.0317676
62481,Labroye,62,50.2782208,1.9899078
62647,Le Parcq,62,50.3787852,2.1006927
62665,Le Ponchel,62,50.2577216,2.0713846
62677,Le Quesnoy-en-Artois,62,50.3334800,2.0475600
62043,Les Attaques,62,50.9072312,1.9336940
62500,Lespesses,62,50.5632812,2.4220283
62508,Lières,62,50.5544531,2.4170378
62512,Ligny-lès-Aire,62,50.5573349,2.3492064
62516,Lillers,62,50.5606000,2.4760400
62532,Lozinghem,62,50.5179975,2.4995182
62540,Maisnil-lès-Ruitz,62,50.4533762,2.5857463
62548,Marck,62,50.9490000,1.9519900
62549,Marconne,62,50.3663428,2.0302604
62550,Marconnelle,62,50.3738592,2.0183811
62553,Marest,62,50.4669138,2.4122070
62555,Marles-les-Mines,62,50.5019493,2.5060412
62570,Méricourt,62,50.4015803,2.8664217
62596,Mouriez,62,50.3424448,1.9464671
62598,Muncq-Nieurlet,62,50.8471786,2.1144961
62600,Nédon,62,50.5249600,2.3692000
62601,Nédonchel,62,50.5240100,2.3579500
62605,Neulette,62,50.3828310,2.1659893
62616,Noeux-lès-Auxi,62,50.2351319,2.1748071
62618,Nordausques,62,50.8186658,2.0797045
62622,Nort-Leulinghem,62,50.8008743,2.0931958
62623,Nouvelle-Église,62,50.9249543,2.0537252
62625,Noyelles-lès-Humières,62,50.3734653,2.1753371
62628,Noyelles-sous-Lens,62,50.4307524,2.8760012
62634,Offekerque,62,50.9412123,2.0197448
62645,Oye-Plage,62,50.9809000,2.0419800
62652,Pernes,62,50.4841033,2.4107490
62662,Polincove,62,50.8545085,2.1022587
62669,Pressy,62,50.4751466,2.3970397
62683,Quoeux-Haut-Maînil,62,50.2997376,2.1098084
62690,Raye-sur-Authie,62,50.2976500,1.9473100
62699,Recques-sur-Hem,62,50.8365368,2.0882503
62700,Regnauville,62,50.3136208,2.0139624
62713,Robecq,62,50.5950176,2.5636502
62719,Rollancourt,62,50.4076500,2.1220200
62722,Rougefay,62,50.2729347,2.1710322
62727,Ruitz,62,50.4665031,2.5885005
62730,Ruminghem,62,50.8600747,2.1574538
62732,Sachin,62,50.4866492,2.3753599
62740,Sains-lès-Pernes,62,50.4773200,2.3557300
62743,Sainte-Austreberthe,62,50.3570452,2.0428922
62756,Sainte-Marie-Kerque,62,50.9005923,2.1374585
62748,Saint-Folquin,62,50.9462324,2.1233543
62749,Saint-Georges,62,50.3583949,2.0874312
62750,Saint-Hilaire-Cottes,62,50.5703444,2.4140311
62766,Saint-Omer-Capelle,62,50.9391812,2.1040242
62771,Sallaumines,62,50.4205435,2.8591238
62805,Tangry,62,50.4651042,2.3548062
62822,Tollent,62,50.2772158,2.0137126
62824,Tortefontaine,62,50.3227280,1.9232923
62834,Vacqueriette-Erquières,62,50.3276480,2.0787988
62838,Vaulx,62,50.2673619,2.0964942
62850,Vieil-Hesdin,62,50.3561926,2.0980398
62852,Vieille-Église,62,50.9288207,2.0781576
62859,Villers-l'Hôpital,62,50.2280007,2.2134032
62868,Wail,62,50.3475601,2.1256189
62871,Wambercourt,62,50.4284600,2.0232800
62872,Wamin,62,50.4134141,2.0587772
62890,Willeman,62,50.3530557,2.1568797
62891,Willencourt,62,50.2404111,2.0886560
62906,Zutkerque,62,50.8534096,2.0679838
80004,Acheux-en-Vimeu,80,50.0644893,1.6751227
80005,Agenville,80,50.1650700,2.1024500
80008,Aigneville,80,50.0332673,1.6183832
80060,Béalcourt,80,50.2042600,2.1843100
80068,Beaumetz,80,50.1409500,2.1196500
80085,Bernâtre,80,50.1973200,2.0906900
80097,Béthencourt-sur-Somme,80,49.7958939,2.9638972
80118,Boufflers,80,50.2615709,2.0206519
80144,Brouchy,80,49.7175452,3.0982693
80158,Buverchy,80,49.7299900,2.9695100
80190,Chépy,80,50.0628538,1.6468738
80208,Conteville,80,50.1774400,2.0742700
80226,Croix-Moligneaux,80,49.8153371,3.0033793
80245,Domléger-Longvillers,80,50.1597890,2.0873387
80248,Dompierre-sur-Authie,80,50.3036241,1.9168755
80252,Douilly,80,49.7946748,3.0653644
80274,Eppeville,80,49.7413575,3.0512443
80284,Esmery-Hallon,80,49.7172363,3.0123898
80300,Falvy,80,49.8243300,2.9583400
80308,Feuquières-en-Vimeu,80,50.0608885,1.6088164
80360,Fressenneville,80,50.0682037,1.5752081
80369,Frohen-sur-Authie,80,50.2023219,2.2064512
80389,Grécourt,80,49.7160492,2.9857989
80396,Gueschart,80,50.2389873,2.0114774
80410,Ham,80,49.7463220,3.0733031
80439,Heuzecourt,80,50.1727100,2.1666400
80440,Hiermont,80,50.1945100,2.0753500
80442,Hombleux,80,49.7390706,2.9864431
80465,Languevoisin-Quiquery,80,49.7476535,2.9304343
